Permit_Number,Surface_Lat,Surface_Lon,BHL_Lat,BHL_Lon
0916830,30.577682,-96.611191,30.5582233,-96.590237
0916832,32.6100086,-101.5578297,32.6100086,-101.5578297
0916836,32.0108762,-101.7029783,31.9887493,-101.7046035
0916837,32.0108936,-101.7028979,31.9898276,-101.6998133
0916838,32.0120007,-101.6979715,31.9697548,-101.6881926
0916843,29.8162588,-97.6182742,29.8106614,-97.6228574
0916849,32.012018,-101.6978943,31.9708409,-101.6833936
0916867,32.4940557,-94.2482226,32.442687,-94.2413247
0916875,32.9320608,-100.2247983,32.9320608,-100.2247983
0916876,32.9294854,-100.224747,32.9294854,-100.224747
0916878,32.288362,-102.272228,32.2590952,-102.2651018
0916879,32.288343,-102.272289,32.2590925,-102.2651144
0916884,32.288966,-102.270214,32.317103,-102.278341
0916885,32.288985,-102.270153,32.317103,-102.278341
0916886,32.9308644,-100.2226604,32.9308644,-100.2226603
0916887,32.288948,-102.270275,32.316775,-102.279729
0916888,32.28893,-102.270336,32.316742,-102.279869
0916889,32.288911,-102.270398,32.316595,-102.280493
0916890,32.288893,-102.270459,32.316271,-102.281866
0916891,32.9318637,-100.2206014,32.9318637,-100.2206014
0916892,32.9339638,-100.219789,32.9339638,-100.2197889
0916904,31.6970563,-96.2000849,31.6970563,-96.2000849
0916908,33.7370304,-96.811907,33.7389331,-96.8121135
0916909,32.286173,-102.275715,32.316116,-102.282521
0916910,32.286159,-102.275777,32.3157505,-102.2839403
0916911,32.286144,-102.27584,32.3155929,-102.2845957
0916928,32.7694888,-102.7170757,32.7671644,-102.7194441
0916929,32.7694888,-102.7170757,32.7671644,-102.7194441
0916930,32.7644815,-102.8124969,,
0916931,32.7644815,-102.8124969,32.7620538,-102.8137569
0916946,33.595887,-102.2578454,33.595887,-102.2578454
0916955,31.3484459,-102.6870686,31.3484459,-102.6870686
0916956,32.4601254,-94.5926165,32.4969942,-94.5949976
0916964,29.2788667,-97.3573194,29.2606861,-97.3484972
0916965,29.2788,-97.357325,29.2606139,-97.3465222
0916966,29.2787306,-97.3573278,29.2605389,-97.3444833
0916967,29.2786611,-97.3573306,29.2604556,-97.3422778
0916968,29.279075,-97.3573111,29.2608139,-97.3519722
0916969,29.2790056,-97.3573139,29.2607861,-97.3512139
0916970,29.2789361,-97.3573167,29.260725,-97.3495139
0916972,28.2730523,-100.1105629,28.257701,-100.107054
0916973,28.2730884,-100.1105379,28.279941,-100.131909
0916974,28.2731245,-100.1105129,28.260363,-100.098736
0916975,28.2731578,-100.1104879,28.283869,-100.130307
0916978,32.4651969,-94.5817667,32.4277165,-94.5840407
0916991,28.777617,-98.67598,28.782478,-98.683029
0916996,33.5782833,-102.2907556,33.5775417,-102.2887528
0916997,33.8412581,-96.9826115,33.8412581,-96.9826115
0917001,33.070708,-98.194364,33.070708,-98.194364
0917006,32.290249,-102.259593,32.262275,-102.250756
0917007,32.290235,-102.259655,32.262084,-102.251587
0917008,32.290221,-102.259718,32.261847,-102.252617
0917009,32.290206,-102.25978,32.261452,-102.254335
0917016,33.8124737,-98.7294847,33.8124737,-98.7294847
0917021,32.290192,-102.259843,32.261357,-102.254747
0917022,32.290177,-102.259905,32.261327,-102.254878
0917023,31.8993527,-102.4558141,31.8993527,-102.4558141
0917024,31.5182855,-96.1064746,31.5182855,-96.1064746
0917027,32.7661609,-102.7127509,32.7639194,-102.7146333
0917028,31.0733786,-101.1696323,31.0958469,-101.1754518
0917030,32.7661609,-102.7127509,32.7639194,-102.7146333
0917031,31.0733786,-101.1695378,31.0958621,-101.1719373
0917032,31.0733796,-101.1694434,31.0958772,-101.1684185
0917033,31.07338,-101.169348,31.0958922,-101.1649041
0917034,28.5762972,-100.0370194,28.5857417,-100.0497583
0917035,28.5763278,-100.0369306,28.5876778,-100.0475361
0917036,28.5763556,-100.0368444,28.5895111,-100.0452167
0917086,32.2356974,-102.8545633,32.2356974,-102.8545633
0917102,33.0659752,-98.1832498,33.0659752,-98.1832498
0917103,33.5479513,-96.9032481,33.5479513,-96.9032481
0917105,33.5501556,-96.8955796,33.5501556,-96.8955796
0917106,31.0943702,-101.1887646,31.1177731,-101.1895879
0917114,32.9538751,-102.860257,32.9538751,-102.860257
0917115,31.8258722,-102.3374111,31.8749333,-102.3487639
0917132,32.289571,-102.268201,32.261057,-102.256052
0917133,32.289552,-102.268262,32.26105,-102.256083
0917135,32.289534,-102.268323,32.26082,-102.257082
0917136,32.289516,-102.268384,32.2606014,-102.2581951
0917139,32.289498,-102.268445,32.2605315,-102.2585154
0917140,29.0000738,-98.8556755,29.0000738,-98.8556755
0917160,32.579807,-101.391009,32.620287,-101.406544
0917172,33.7917359,-99.0767321,33.7917359,-99.0767321
0917173,31.4372207,-96.2277955,31.4372207,-96.2277955
0917180,32.289479,-102.268506,32.2602933,-102.259608
0917181,32.289461,-102.268567,32.2599236,-102.2613035
0917182,32.289443,-102.268628,32.2597017,-102.2623207
0917187,31.8274917,-102.3341833,31.874935,-102.348764
0917188,31.8275444,-102.3342,31.874935,-102.348764
0917189,31.8275972,-102.3342167,31.874935,-102.348764
0917193,32.288287,-102.279155,32.2588318,-102.2664616
0917195,32.288268,-102.279216,32.2585153,-102.2678716
0917196,32.288249,-102.279277,32.2583886,-102.2684357
0917197,32.288231,-102.279338,32.2581354,-102.2695638
0917199,32.687378,-102.560556,32.687378,-102.560556
0917200,32.683788,-102.555641,32.683788,-102.555641
0917202,32.6807056,-102.5513722,32.6807056,-102.5513722
0917214,31.7705428,-95.4485757,31.7705428,-95.4485757
0917217,29.3167194,-97.4912528,29.3194,-97.48625
0917218,29.3167333,-97.4912111,29.3206028,-97.4851806
0917219,29.3167722,-97.4911694,29.3213333,-97.4841389
0917232,31.7967506,-104.0458072,31.8103744,-104.0492548
0917233,31.7967534,-104.0457107,31.8103758,-104.0488
